NEVO-code,food_group_en,food_name_en,food_group_nl,food_name_nl,remark_nl,synonym_nl,food_group_no,food_name_no,food_group_de,food_name_de,food_group_es,food_name_es,food_group_el,food_name_el,food_group_it,food_name_it,food_group_pl,food_name_pl,food_group_sl,food_name_sl
386,Alcoholic beverages,Gin Dutch red currant flavoured,Alcoholische dranken,Jenever bessen-,,Bessenjenever,Alkoholholdige drikker,Gin med smak av nederlandsk rips,Alkoholische Getränke,Gin mit Geschmack nach roten Johannisbeeren,Bebidas alcohólicas,Ginebra con sabor a grosella roja holandesa,Αλκοολούχα ποτά,Τζιν με γεύση κόκκινου φραγκοστάφυλου,Bevande alcoliche,Gin olandese aromatizzato al ribes rosso,Napoje alkoholowe,Gin o smaku czerwonych porzeczek holenderskich,Alkoholne pijače,Gin z okusom rdečega ribeza
387,Non-alcoholic beverages,Fruit juice drink blackcurrant,Niet-alcoholische dranken,Vruchtendrank zwarte bessen,,Zwarte bessendrank,Alkoholfrie drikker,Fruktjuice av solbær,Alkoholfreie Getränke,Fruchtsaftgetränk aus schwarzen Johannisbeeren,Bebidas no alcohólicas,Bebida de zumo de fruta de grosella negra,Μη αλκοολούχα ποτά,Ποτό χυμού φρούτων από μαύρο φραγκοστάφυλο,Bevande analcoliche,Bevanda a base di succo di frutta al ribes nero,Napoje bezalkoholowe,Napój owocowy z czarnej porzeczki,Brezalkoholne pijače,Sadni sok iz črnega ribeza
388,Non-alcoholic beverages,Juice redcurrant,Niet-alcoholische dranken,Sap rode bessen-,,Rode bessensap,Alkoholfrie drikker,Rødbærsaft,Alkoholfreie Getränke,Rote Johannisbeersaft,Bebidas no alcohólicas,Zumo de grosella roja,Μη αλκοολούχα ποτά,Χυμός κόκκινου φραγκοστάφυλου,Bevande analcoliche,Succo di ribes rosso,Napoje bezalkoholowe,Sok z czerwonych porzeczek,Brezalkoholne pijače,Sok iz rdečega ribeza
389,Alcoholic beverages,Beer old brown,Alcoholische dranken,Bier oud bruin,,,Alkoholholdige drikker,Gammel brun øl,Alkoholische Getränke,Altbier,Bebidas alcohólicas,Cerveza «Old Brown»,Αλκοολούχα ποτά,Παλιά καφέ μπύρα,Bevande alcoliche,Birra scura invecchiata,Napoje alkoholowe,Piwo typu „old brown”,Alkoholne pijače,Staro rjavo pivo
390,Alcoholic beverages,Beer pilsner,Alcoholische dranken,Bier pils,"Gem van Amstel, Brand, Heineken, Grolsch, Schultenbrau.",,Alkoholholdige drikker,Pilsnerøl,Alkoholische Getränke,Pilsner-Bier,Bebidas alcohólicas,Cerveza pilsner,Αλκοολούχα ποτά,Μπύρα πιλσνερ,Bevande alcoliche,Birra pilsner,Napoje alkoholowe,Piwo typu pilsner,Alkoholne pijače,Pivo pilsner
391,Alcoholic beverages,Brandy,Alcoholische dranken,Brandewijn,,,Alkoholholdige drikker,Brandy,Alkoholische Getränke,Brandy,Bebidas alcohólicas,Brandy,Αλκοολούχα ποτά,Μπράντι,Bevande alcoliche,Brandy,Napoje alkoholowe,Brandy,Alkoholne pijače,Brandy
392,Alcoholic beverages,Campari,Alcoholische dranken,Campari,,,Alkoholholdige drikker,Campari,Alkoholische Getränke,Campari,Bebidas alcohólicas,Campari,Αλκοολούχα ποτά,Campari,Bevande alcoliche,Campari,Napoje alkoholowe,Campari,Alkoholne pijače,Campari
393,Alcoholic beverages,Gin Dutch lemon flavoured,Alcoholische dranken,Jenever citroen-,,Citroenjenever,Alkoholholdige drikker,Gin med nederlandsk sitronsmak,Alkoholische Getränke,Gin mit Zitraroma (niederländisch),Bebidas alcohólicas,Ginebra holandesa con sabor a limón,Αλκοολούχα ποτά,Τζιν ολλανδικό με γεύση λεμονιού,Bevande alcoliche,Gin olandese al gusto di limone,Napoje alkoholowe,Gin holenderski o smaku cytrynowym,Alkoholne pijače,Gin z okusom nizozemske limone
394,Alcoholic beverages,Cognac,Alcoholische dranken,Cognac,,,Alkoholholdige drikker,Cognac,Alkoholische Getränke,Cognac,Bebidas alcohólicas,Coñac,Αλκοολούχα ποτά,Κονιάκ,Bevande alcoliche,Cognac,Napoje alkoholowe,Koniak,Alkoholne pijače,Kognak
395,Non-alcoholic beverages,Soft drink w sugar w caffeine,Niet-alcoholische dranken,Frisdrank m suiker m cafeine,,Cola m suiker m cafeine,Alkoholfrie drikker,Brus med sukker og koffein,Alkoholfreie Getränke,Erfrischungsgetränk mit Zucker und Koffein,Bebidas no alcohólicas,Refresco con azúcar y cafeína,Μη αλκοολούχα ποτά,Αναψυκτικό με ζάχαρη και καφεΐνη,Bevande analcoliche,Bevanda analcolica con zucchero e caffeina,Napoje bezalkoholowe,Napój bezalkoholowy z cukrem i kofeiną,Brezalkoholne pijače,Brezalkoholna pijača s sladkorjem in kofeinom
396,Non-alcoholic beverages,Juice grape,Niet-alcoholische dranken,Sap druiven-,,Druivensap,Alkoholfrie drikker,Juice fra druer,Alkoholfreie Getränke,Keltertraube,Bebidas no alcohólicas,Uva para zumo,Μη αλκοολούχα ποτά,Σταφύλι για χυμό,Bevande analcoliche,Uva da succo,Napoje bezalkoholowe,Winogrona na sok,Brezalkoholne pijače,Grozdni sok
399,Non-alcoholic beverages,Fruit juice drink raspberry,Niet-alcoholische dranken,Vruchtendrank frambozen,,Frambozendrank,Alkoholfrie drikker,Fruktjuice med bringebærsmak,Alkoholfreie Getränke,Fruchtsaftgetränk Himbeere,Bebidas no alcohólicas,Bebida de zumo de frambuesa,Μη αλκοολούχα ποτά,Ποτό χυμού φρούτων βατόμουρου,Bevande analcoliche,Bevanda a base di succo di frutta al lampone,Napoje bezalkoholowe,Napój owocowy o smaku malinowym,Brezalkoholne pijače,Sadni sok iz malin
400,Non-alcoholic beverages,Soft drink m sugar wo caffeine,Niet-alcoholische dranken,Frisdrank m suiker z cafeine,"Gemiddelde van Tonic, Ginger ale.",Ginger ale/tonic,Alkoholfrie drikker,Brus m sukker wo koffein,Alkoholfreie Getränke,"Erfrischungsgetränk, Zucker, ohne Koffein",Bebidas no alcohólicas,Refresco sin azúcar y sin cafeína,Μη αλκοολούχα ποτά,Αναψυκτικό χωρίς ζάχαρη και χωρίς καφεΐνη,Bevande analcoliche,Bevanda analcolica senza zucchero e senza caffeina,Napoje bezalkoholowe,"Napoje bezalkoholowe z cukrem, bez kofeiny",Brezalkoholne pijače,Brezalkoholna pijača brez sladkorja brez kofeina
401,Alcoholic beverages,Gin young Dutch,Alcoholische dranken,Jenever jonge,,,Alkoholholdige drikker,Gin young Dutch,Alkoholische Getränke,Gin young Dutch,Bebidas alcohólicas,Gin joven holandés,Αλκοολούχα ποτά,Gin young Dutch,Bevande alcoliche,Gin young olandese,Napoje alkoholowe,Gin young Dutch,Alkoholne pijače,Gin young Dutch
402,Alcoholic beverages,Gin old Dutch,Alcoholische dranken,Jenever oude,,,Alkoholholdige drikker,Gin old Dutch,Alkoholische Getränke,Gin Old Dutch,Bebidas alcohólicas,Ginebra «Old Dutch»,Αλκοολούχα ποτά,Gin Old Dutch,Bevande alcoliche,Gin Old Dutch,Napoje alkoholowe,Gin Old Dutch,Alkoholne pijače,Gin old Dutch
403,Alcoholic beverages,Liqueur 15-25 vol% alcohol,Alcoholische dranken,Likeur 15-25 vol% alc,,Tia maria e.d.,Alkoholholdige drikker,Likør 15–25 vol% alkohol,Alkoholische Getränke,Likör 15–25 Vol.-% Alkohol,Bebidas alcohólicas,Licor con un 15-25 % vol. de alcohol,Αλκοολούχα ποτά,Λικέρ 15-25 % vol αλκοόλης,Bevande alcoliche,Liquore con gradazione alcolica del 15-25% vol.,Napoje alkoholowe,Likier o zawartości alkoholu 15–25% obj.,Alkoholne pijače,Likér 15–25 vol. % alkohola
405,Alcoholic beverages,Muscatel,Alcoholische dranken,Muskaatwijn,,,Alkoholholdige drikker,Muscatel,Alkoholische Getränke,Muscatel,Bebidas alcohólicas,Moscatel,Αλκοολούχα ποτά,Μουσκάτο,Bevande alcoliche,Moscato,Napoje alkoholowe,Muscatel,Alkoholne pijače,Muscatel
407,Alcoholic beverages,Port wine,Alcoholische dranken,Port,,,Alkoholholdige drikker,Portvin,Alkoholische Getränke,Portwein,Bebidas alcohólicas,Vino de Oporto,Αλκοολούχα ποτά,Πορτο,Bevande alcoliche,Vino di Porto,Napoje alkoholowe,Wino porto,Alkoholne pijače,Portovec
408,Alcoholic beverages,Rum,Alcoholische dranken,Rum,,,Alkoholholdige drikker,Rom,Alkoholische Getränke,Rum,Bebidas alcohólicas,Ron,Αλκοολούχα ποτά,Ρούμι,Bevande alcoliche,Rum,Napoje alkoholowe,Rum,Alkoholne pijače,Rum
409,Alcoholic beverages,Sherry,Alcoholische dranken,Sherry,,,Alkoholholdige drikker,Sherry,Alkoholische Getränke,Sherry,Bebidas alcohólicas,Sherry,Αλκοολούχα ποτά,Sherry,Bevande alcoliche,Sherry,Napoje alkoholowe,Sherry,Alkoholne pijače,Sherry
410,Non-alcoholic beverages,Juice orange pasteurized,Niet-alcoholische dranken,Sap sinaasappel- gepasteuriseerd,,Jus d'orange/Sinaasappelsap Appelsientje e.d.,Alkoholfrie drikker,Pasteurisert appelsinjuice,Alkoholfreie Getränke,Pasteurisierter Orangensaft,Bebidas no alcohólicas,Zumo de naranja pasteurizado,Μη αλκοολούχα ποτά,Χυμός πορτοκαλιού παστεριωμένος,Bevande analcoliche,Succo d’arancia pastorizzato,Napoje bezalkoholowe,Sok pomarańczowy pasteryzowany,Brezalkoholne pijače,Pasteriziran pomarančni sok
413,Non-alcoholic beverages,Tomato juice,Niet-alcoholische dranken,Sap tomaten-,,Tomatensap,Alkoholfrie drikker,Tomatjuice,Alkoholfreie Getränke,Tomatensaft,Bebidas no alcohólicas,Zumo de tomate,Μη αλκοολούχα ποτά,Χυμός ντομάτας,Bevande analcoliche,Succo di pomodoro,Napoje bezalkoholowe,Sok pomidorowy,Brezalkoholne pijače,Paradižnikov sok
415,Alcoholic beverages,Vermouth,Alcoholische dranken,Vermouth zoete,,Zoete Martini e.d.,Alkoholholdige drikker,Vermouth,Alkoholische Getränke,Wermut,Bebidas alcohólicas,Vermú,Αλκοολούχα ποτά,Βερμούτ,Bevande alcoliche,Vermouth,Napoje alkoholowe,Wermut,Alkoholne pijače,Vermut
416,Alcoholic beverages,Brandy Dutch vieux,Alcoholische dranken,Vieux,,,Alkoholholdige drikker,Brandy Dutch vieux,Alkoholische Getränke,Brandy Dutch Vieux,Bebidas alcohólicas,Brandy holandés viejo,Αλκοολούχα ποτά,Ολλανδικό μπράντι «vieux»,Bevande alcoliche,Brandy olandese invecchiato,Napoje alkoholowe,Brandy holenderska typu vieux,Alkoholne pijače,Brandy Dutch vieux
417,Non-alcoholic beverages,Juice drink w sugar,Niet-alcoholische dranken,Limonade vruchten- m suiker,"Oa sinas, cassis, bitter lemon.","Frisdrank sinas, cassis, bitter lemon, e.d.",Alkoholfrie drikker,Juicedrikk med sukker,Alkoholfreie Getränke,Saftgetränk mit Zucker,Bebidas no alcohólicas,Bebida de zumo con azúcar,Μη αλκοολούχα ποτά,Χυμός με ζάχαρη,Bevande analcoliche,Bevanda a base di succo con zucchero,Napoje bezalkoholowe,Napój owocowy z cukrem,Brezalkoholne pijače,Sok z dodanim sladkorjem
421,Alcoholic beverages,Whisky,Alcoholische dranken,Whisky,,,Alkoholholdige drikker,Whisky,Alkoholische Getränke,Whisky,Bebidas alcohólicas,Whisky,Αλκοολούχα ποτά,Ουίσκι,Bevande alcoliche,Whisky,Napoje alkoholowe,Whisky,Alkoholne pijače,Whisky
422,Alcoholic beverages,Wine red,Alcoholische dranken,Wijn rode,,,Alkoholholdige drikker,Vinrød,Alkoholische Getränke,Weinrot,Bebidas alcohólicas,Tinto,Αλκοολούχα ποτά,Κόκκινο κρασί,Bevande alcoliche,Rosso vino,Napoje alkoholowe,Czerwone wino,Alkoholne pijače,Vinsko rdeča
423,Alcoholic beverages,Wine white dry,Alcoholische dranken,Wijn witte droge,,,Alkoholholdige drikker,"Hvit, tørr vin",Alkoholische Getränke,"Weißwein, trocken",Bebidas alcohólicas,Vino blanco seco,Αλκοολούχα ποτά,Λευκό ξηρό κρασί,Bevande alcoliche,Vino bianco secco,Napoje alkoholowe,Wino białe wytrawne,Alkoholne pijače,Belo suho vino
425,Non-alcoholic beverages,Softdrink w milk serum and sweetener Rivella,Niet-alcoholische dranken,Frisdrank Rivella,,Frisdrank Rivella,Alkoholfrie drikker,Brus med melkeserum og søtningsmiddel Rivella,Alkoholfreie Getränke,Erfrischungsgetränk mit Molke und Süßungsmittel Rivella,Bebidas no alcohólicas,Refresco con suero de leche y edulcorante Rivella,Μη αλκοολούχα ποτά,Αναψυκτικό με ορό γάλακτος και γλυκαντικό Rivella,Bevande analcoliche,Bevanda analcolica con siero di latte e dolcificante Rivella,Napoje bezalkoholowe,Napój bezalkoholowy z serwatem mlecznym i substancją słodzącą Rivella,Brezalkoholne pijače,Brezalkoholna pijača z mlečnim serumom in sladilom Rivella
427,"Sugar, sweets and sweet sauces",Syrup apple rinse,"Suiker, snoep, zoet beleg en zoete sauzen",Stroop appel- rinse,,Appelstroop,"Sukker, søtsaker og søte sauser","Sirup, epleskylling","Zucker, Süßigkeiten und süße Soßen",Apfelsirup-Spülung,"Azúcar, dulces y salsas dulces",Almíbar de manzana,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Ξέπλυμα μήλου με σιρόπι,"Zucchero, dolci e salse dolci",Sciroppo di mele filtrato,"Cukier, słodycze i słodkie sosy",Syrop z płukania jabłek,"Sladkor, sladkarije in sladke omake",Jabolčni sirup za izpiranje
428,Savoury sauces,Sauce barbecue,Hartige sauzen,Saus barbecue-,Gem van Calvé en Remia.,Barbecuesaus/barbequesaus,Salte sauser,Barbecue-saus,Herzhafte Soßen,Barbecue-Soße,Salsas saladas,Salsa barbacoa,Αλμυρές σάλτσες,Σάλτσα μπάρμπεκιου,Salse salate,Salsa barbecue,Sosy pikantne,Sos barbecue,Slanih omak,Barbecue omaka
429,Herbs and spices,Stock cube,Kruiden en specerijen,Bouillonblokje,"Gem v Knorr en Maggi: rund, kip en groente.",,Urter og krydder,Buljongterning,Kräuter und Gewürze,Brühwürfel,Hierbas y especias,Cubito de caldo,Βότανα και μπαχαρικά,Κύβος ζωμού,Erbe aromatiche e spezie,Dado da brodo,Zioła i przyprawy,Kostka bulionowa,Zelišča in začimbe,Kocka jušne osnove
430,Miscellaneous foods,Cocoa powder,Diversen,Cacaopoeder,,,Diverse matvarer,Kakaopulver,Verschiedene Lebensmittel,Kakaopulver,Alimentos diversos,Cacao en polvo,Διάφορα τρόφιμα,Σκόνη κακάου,Alimenti vari,Cacao in polvere,Różne produkty spożywcze,Proszek kakaowy,Razna živila,Kakav v prahu
431,"Sugar, sweets and sweet sauces",Chocolate milk,"Suiker, snoep, zoet beleg en zoete sauzen",Chocolade melk-,,Melkchocolade,"Sukker, søtsaker og søte sauser",Sjokolademelk,"Zucker, Süßigkeiten und süße Soßen",Schokoladenmilch,"Azúcar, dulces y salsas dulces",Leche con chocolate,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Γάλα με σοκολάτα,"Zucchero, dolci e salse dolci",Latte al cioccolato,"Cukier, słodycze i słodkie sosy",Mleko czekoladowe,"Sladkor, sladkarije in sladke omake",Čokoladno mleko
432,"Sugar, sweets and sweet sauces",Chocolate dark,"Suiker, snoep, zoet beleg en zoete sauzen",Chocolade puur,,Bittere chocolade/Pure chocolade,"Sukker, søtsaker og søte sauser",Mørk sjokolade,"Zucker, Süßigkeiten und süße Soßen",Zartbitterschokolade,"Azúcar, dulces y salsas dulces",Chocolate negro,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Μαύρη σοκολάτα,"Zucchero, dolci e salse dolci",Cioccolato fondente,"Cukier, słodycze i słodkie sosy",Czekolada gorzka,"Sladkor, sladkarije in sladke omake",Temna čokolada
433,"Sugar, sweets and sweet sauces",Chocolate flakes milk,"Suiker, snoep, zoet beleg en zoete sauzen",Vlokken chocolade- melk,De Ruijter.,Chocoladevlokken melk,"Sukker, søtsaker og søte sauser",Melkesjokoladeflak,"Zucker, Süßigkeiten und süße Soßen",Milchschokoladenflocken,"Azúcar, dulces y salsas dulces",Copos de chocolate con leche,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Νιφάδες σοκολάτας γάλακτος,"Zucchero, dolci e salse dolci",Fiocchi di cioccolato al latte,"Cukier, słodycze i słodkie sosy",Płatki czekoladowe mleczne,"Sladkor, sladkarije in sladke omake","Čokoladni kosmiči, mlečni"
434,"Sugar, sweets and sweet sauces",Chocolate butter,"Suiker, snoep, zoet beleg en zoete sauzen",Boter chocolade-,,Chocoladeboter,"Sukker, søtsaker og søte sauser",Sjokoladesmør,"Zucker, Süßigkeiten und süße Soßen",Schokoladenbutter,"Azúcar, dulces y salsas dulces",Mantequilla de chocolate,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Βούτυρο σοκολάτας,"Zucchero, dolci e salse dolci",Burro al cioccolato,"Cukier, słodycze i słodkie sosy",Masło czekoladowe,"Sladkor, sladkarije in sladke omake",Čokoladno maslo
435,"Sugar, sweets and sweet sauces",Chocolate flakes dark,"Suiker, snoep, zoet beleg en zoete sauzen",Vlokken chocolade- puur,De Ruijter.,Chocoladevlokken puur,"Sukker, søtsaker og søte sauser",Mørke sjokoladeflak,"Zucker, Süßigkeiten und süße Soßen","Schokoladenflocken, dunkel","Azúcar, dulces y salsas dulces",Copos de chocolate negro,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Νιφάδες μαύρης σοκολάτας,"Zucchero, dolci e salse dolci",Fiocchi di cioccolato fondente,"Cukier, słodycze i słodkie sosy",Płatki czekoladowe gorzkie,"Sladkor, sladkarije in sladke omake",Temni čokoladni kosmiči
436,"Sugar, sweets and sweet sauces",Spread chocolate hazelnut,"Suiker, snoep, zoet beleg en zoete sauzen",Pasta chocolade- hazelnoot,,Hazelnootpasta,"Sukker, søtsaker og søte sauser",Smørbar sjokolade med hasselnøtter,"Zucker, Süßigkeiten und süße Soßen",Schokoladen-Haselnuss-Aufstrich,"Azúcar, dulces y salsas dulces",Crema de chocolate y avellanas para untar,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Κρέμα σοκολάτας με φουντούκια,"Zucchero, dolci e salse dolci",Crema spalmabile al cioccolato e nocciole,"Cukier, słodycze i słodkie sosy",Krem czekoladowo-orzechowy,"Sladkor, sladkarije in sladke omake",Čokoladno-lešnikova namaz
437,Savoury sauces,Sauce cocktail/party/table 25% oil,Hartige sauzen,Saus cocktail/party/tafel- 25% olie,"Gem van Remia, Calvé, AH, 1 de Beste en Perfekt.",Cocktailsaus 25% olie,Salte sauser,Cocktail-/fest-/bordssaus 25 % olje,Herzhafte Soßen,"Cocktail-/Party-/Tischsauce, 25 % Öl",Salsas saladas,Salsa cóctel/de fiesta/de mesa con un 25 % de aceite,Αλμυρές σάλτσες,Σάλτσα κοκτέιλ/πάρτι/τραπεζιού 25% λάδι,Salse salate,Salsa da cocktail/da festa/da tavola 25% di olio,Sosy pikantne,Sos koktajlowy/imprezowy/stołowy 25% oleju,Slanih omak,Omaka za koktajle/za zabavo/za mizo 25 % olja
439,Miscellaneous foods,Gelatin,Diversen,Gelatine,,,Diverse matvarer,Gelatin,Verschiedene Lebensmittel,Gelatine,Alimentos diversos,Gelatina,Διάφορα τρόφιμα,Ζελατίνη,Alimenti vari,Gelatina,Różne produkty spożywcze,Żelatyna,Razna živila,Želatina
440,"Sugar, sweets and sweet sauces",Ginger stem in syrup tinned,"Suiker, snoep, zoet beleg en zoete sauzen",Gember op siroop blik/glas,,Stemgember,"Sukker, søtsaker og søte sauser","Ingefærstengel i sirup, hermetisert","Zucker, Süßigkeiten und süße Soßen","Ingwerstängel in Sirup, in Dosen","Azúcar, dulces y salsas dulces",Tallo de jengibre en almíbar en conserva,"Ζάχαρη, γλυκά και γλυκές σάλτσες","Στέλεχος τζίντζερ σε σιρόπι, κονσερβοποιημένο","Zucchero, dolci e salse dolci",Gambi di zenzero sciroppati in scatola,"Cukier, słodycze i słodkie sosy","Łodygi imbiru w syropie, w puszce","Sladkor, sladkarije in sladke omake","Ingverjev stebel v sirupu, konzerviran"
441,Miscellaneous foods,Yeast extract Marmite,Diversen,Gistextract Marmite,,,Diverse matvarer,Gjærekstrakt Marmite,Verschiedene Lebensmittel,Hefeextrakt Marmite,Alimentos diversos,Extracto de levadura Marmite,Διάφορα τρόφιμα,Εκχύλισμα μαγιάς Marmite,Alimenti vari,Estratto di lievito Marmite,Różne produkty spożywcze,Ekstrakt drożdżowy Marmite,Razna živila,Kvasni ekstrakt Marmite
442,"Sugar, sweets and sweet sauces",Coloured sprinkles fruit-flavoured,"Suiker, snoep, zoet beleg en zoete sauzen",Hagelslag vruchten-,,Gekleurde muisjes/Vruchtenhagelslag,"Sukker, søtsaker og søte sauser",Fargede strøssel med fruktsmak,"Zucker, Süßigkeiten und süße Soßen",Bunte Streusel mit Fruchtgeschmack,"Azúcar, dulces y salsas dulces",Fideos de colores con sabor a fruta,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Χρωματιστά διακοσμητικά με γεύση φρούτων,"Zucchero, dolci e salse dolci",Granelli colorati al gusto di frutta,"Cukier, słodycze i słodkie sosy",Kolorowe posypki o smaku owocowym,"Sladkor, sladkarije in sladke omake",Barvne posipke z okusom sadja
443,"Sugar, sweets and sweet sauces",Honey,"Suiker, snoep, zoet beleg en zoete sauzen",Honing,,,"Sukker, søtsaker og søte sauser",Honning,"Zucker, Süßigkeiten und süße Soßen",Honig,"Azúcar, dulces y salsas dulces",Miel,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Μέλι,"Zucchero, dolci e salse dolci",Miele,"Cukier, słodycze i słodkie sosy",Miód,"Sladkor, sladkarije in sladke omake",Med
444,"Sugar, sweets and sweet sauces",Spread chocolate dark,"Suiker, snoep, zoet beleg en zoete sauzen",Pasta chocolade- puur,"Gem van Albert Heijn, Jumbo, Penotti biologisch.",Chocoladepasta puur,"Sukker, søtsaker og søte sauser",Mørk sjokolade,"Zucker, Süßigkeiten und süße Soßen","Schokoladenaufstrich, dunkel","Azúcar, dulces y salsas dulces",Chocolate negro para untar,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Σοκολάτα μαύρη για επάλειψη,"Zucchero, dolci e salse dolci",Cioccolato fondente spalmabile,"Cukier, słodycze i słodkie sosy",Czekolada gorzka do smarowania,"Sladkor, sladkarije in sladke omake",Temna čokolada za mazanje
445,"Sugar, sweets and sweet sauces",Jam,"Suiker, snoep, zoet beleg en zoete sauzen",Jam,,Huishoudjam,"Sukker, søtsaker og søte sauser",Syltetøy,"Zucker, Süßigkeiten und süße Soßen",Marmelade,"Azúcar, dulces y salsas dulces",Mermelada,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Μαρμελάδα,"Zucchero, dolci e salse dolci",Marmellata,"Cukier, słodycze i słodkie sosy",Dżem,"Sladkor, sladkarije in sladke omake",Džem
446,"Sugar, sweets and sweet sauces",Chewing gum,"Suiker, snoep, zoet beleg en zoete sauzen",Kauwgom,Bevat circa 25 g gom.,Kauwgum,"Sukker, søtsaker og søte sauser",Tyggegummi,"Zucker, Süßigkeiten und süße Soßen",Kaugummi,"Azúcar, dulces y salsas dulces",Chicle,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Τσίχλα,"Zucchero, dolci e salse dolci",Gomma da masticare,"Cukier, słodycze i słodkie sosy",Guma do żucia,"Sladkor, sladkarije in sladke omake",Žvečilni gumi
447,"Sugar, sweets and sweet sauces",Chewing gum wo sugar,"Suiker, snoep, zoet beleg en zoete sauzen",Kauwgom z suiker,"Bevat 40 g gom. Gebaseerd op Benbits, Freedent, Mentos, Sportlife, Stimorol en Xylifresh.",Suikervrije kauwgum,"Sukker, søtsaker og søte sauser",Tyggegummi uten sukker,"Zucker, Süßigkeiten und süße Soßen",Kaugummi ohne Zucker,"Azúcar, dulces y salsas dulces",Chicle sin azúcar,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Τσίχλα χωρίς ζάχαρη,"Zucchero, dolci e salse dolci",Gomma da masticare senza zucchero,"Cukier, słodycze i słodkie sosy",Guma do żucia bez cukru,"Sladkor, sladkarije in sladke omake",Žvečilni gumi brez sladkorja
449,"Sugar, sweets and sweet sauces",Coconut bread sweetened sliced,"Suiker, snoep, zoet beleg en zoete sauzen",Kokosbrood,,,"Sukker, søtsaker og søte sauser",Søtet kokosbrød i skiver,"Zucker, Süßigkeiten und süße Soßen","Gesüßtes Kokosbrot, in Scheiben geschnitten","Azúcar, dulces y salsas dulces","Pan de coco endulzado, en rebanadas","Ζάχαρη, γλυκά και γλυκές σάλτσες",Φέτες γλυκισμένου ψωμιού καρύδας,"Zucchero, dolci e salse dolci",Pane al cocco zuccherato a fette,"Cukier, słodycze i słodkie sosy",Słodzony chleb kokosowy w plasterkach,"Sladkor, sladkarije in sladke omake","Sladkan kokosov kruh, narezan na rezine"
450,"Sugar, sweets and sweet sauces",Sweets boiled,"Suiker, snoep, zoet beleg en zoete sauzen",Zuurtjes,,Hoestbonbon/rang e.d. snoepjes,"Sukker, søtsaker og søte sauser",Kokte søtsaker,"Zucker, Süßigkeiten und süße Soßen",Gekochte Süßigkeiten,"Azúcar, dulces y salsas dulces",Dulces hervidos,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Βρασμένα γλυκά,"Zucchero, dolci e salse dolci",Dolci bolliti,"Cukier, słodycze i słodkie sosy",Słodycze gotowane,"Sladkor, sladkarije in sladke omake",Kuhane sladice
451,Savoury sauces,Mayonnaise,Hartige sauzen,Mayonaise,,,Salte sauser,Majones,Herzhafte Soßen,Mayonnaise,Salsas saladas,Mayonesa,Αλμυρές σάλτσες,Μαγιονέζα,Salse salate,Maionese,Sosy pikantne,Majonez,Slanih omak,Majoneza
453,"Sugar, sweets and sweet sauces",Peppermint,"Suiker, snoep, zoet beleg en zoete sauzen",Pepermunt,,"Tic-tac mint, after dinner mints","Sukker, søtsaker og søte sauser",Peppermynte,"Zucker, Süßigkeiten und süße Soßen",Pfefferminze,"Azúcar, dulces y salsas dulces",Menta piperita,"Ζάχαρη, γλυκά και γλυκές σάλτσες",Μέντα,"Zucchero, dolci e salse dolci",Menta piperita,"Cukier, słodycze i słodkie sosy",Mięta pieprzowa,"Sladkor, sladkarije in sladke omake",Poprova meta
454,Savoury sauces,Piccalilly,Hartige sauzen,Piccalilly,,,Salte sauser,Piccalilly,Herzhafte Soßen,Piccalilly,Salsas saladas,Piccalilly,Αλμυρές σάλτσες,Piccalilly,Salse salate,Piccalilly,Sosy pikantne,Piccalilly,Slanih omak,Piccalilly
455,Savoury bread spreads,Peanut butter,Hartig broodbeleg,Pindakaas,,,Salte brødpålegg,Peanøttsmør,Herzhafte Brotaufstriche,Erdnussbutter,Pastas para untar saladas,Mantequilla de cacahuete,Αλμυρά αλείμματα για ψωμί,Φυστικοβούτυρο,Creme spalmabili salate per il pane,Burro di arachidi,Pikantne pasty do smarowania pieczywa,Masło orzechowe,Slani namazi za kruh,Arašidovo maslo
