code,en,no,de,el,es,it,nl,pl,sl
A019T,Cinnamon bark and similar-,Kanel og lignende,Zimt und ähnliche,Κανέλα και παρόμοια,Canela y similares,Cannella e simili,Kaneel en soortgelijke,Cynamon i podobne,Cimet in podobno
A01BB,Canned or jarred common beans,Hermetiske bønner,Bohnen in Konserven,Φασόλια κονσέρβας,Judías en conserva,Fagioli in scatola,Bonen in blik of pot,Fasola konserwowa,Konzerviran fižol
A01BC,Canned or jarred peas,Hermetiske erter,Erbsen in Konserven,Αρακάς κονσέρβας,Guisantes en conserva,Piselli in scatola,Erwten in blik of pot,Groszek konserwowy,Konzerviran grah
A01BD,Canned or jarred lentils,Hermetiske linser,Linsen in Konserven,Φακές κονσέρβας,Lentejas en conserva,Lenticchie in scatola,Linzen in blik of pot,Soczewica konserwowa,Konzervirana leča
A01BE,Canned or jarred chickpea,Hermetiske kikerter,Kichererbsen in Konserven,Ρεβίθια κονσέρβας,Garbanzos en conserva,Ceci in scatola,Kikkererwten in blik of pot,Ciecierzyca konserwowa,Konzervirana čičerika
A01BR,"Olives, processed",Bearbeidede oliven,Verarbeitete Oliven,Ελιές επεξεργασμένες,Aceitunas preparadas,Olive lavorate,Bewerkte olijven,Oliwki przetworzone,Predelane olive
A01BT,Citrus fruits,Sitrusfrukter,Zitrusfrüchte,Εσπεριδοειδή,Cítricos,Agrumi,Citrusvruchten,Owoce cytrusowe,Citrusi
A01BX,Lemons and similar-,Sitroner og lignende,Zitronen und ähnliche,Λεμόνια και παρόμοια,Limones y similares,Limoni e simili,Citroenen en soortgelijke,Cytryny i podobne,Limone in podobno
A01CB,Mandarins and similar-,Mandariner og lignende,Mandarinen und ähnliche,Μανταρίνια και παρόμοια,Mandarinas y similares,Mandarini e simili,Mandarijnen en soortgelijke,Mandarynki i podobne,Mandarine in podobno
A01CP,Oranges and similar-,Appelsiner og lignende,Orangen und ähnliche,Πορτοκάλια και παρόμοια,Naranjas y similares,Arance e simili,Sinaasappels en soortgelijke,Pomarańcze i podobne,Pomaranče in podobno
A01CX,Grapefruits and similar-,Grapefrukt og lignende,Grapefruits und ähnliche,Γκρέιπφρουτ και παρόμοια,Pomelos y similares,Pompelmi e simili,Grapefruits en soortgelijke,Grejpfruty i podobne,Grenivke in podobno
A01DH,Apples and similar-,Epler og lignende,Äpfel und ähnliche,Μήλα και παρόμοια,Manzanas y similares,Mele e simili,Appels en soortgelijke,Jabłka i podobne,Jabolka in podobno
A01DN,Pears and similar-,Pærer og lignende,Birnen und ähnliche,Αχλάδια και παρόμοια,Peras y similares,Pere e simili,Peren en soortgelijke,Gruszki i podobne,Hruške in podobno
A01DT,Berries and small fruits,Bær og små frukter,Beeren und Kleinobst,Μούρα και μικρόκαρπα φρούτα,Bayas y frutos pequeños,Bacche e piccoli frutti,Bessen en klein fruit,Jagody i drobne owoce,Jagodičevje in drobno sadje
A01DZ,Strawberries and similar-,Jordbær og lignende,Erdbeeren und ähnliche,Φράουλες και παρόμοια,Fresas y similares,Fragole e simili,Aardbeien en soortgelijke,Truskawki i podobne,Jagode in podobno
A01EN,Raspberries and similar-,Bringebær og lignende,Himbeeren und ähnliche,Σμέουρα και παρόμοια,Frambuesas y similares,Lamponi e simili,Frambozen en soortgelijke,Maliny i podobne,Maline in podobno
A01FQ,Gooseberries and similar-,Stikkelsbær og lignende,Stachelbeeren und ähnliche,Φραγκοστάφυλα και παρόμοια,Grosellas espinosas y similares,Uva spina e simili,Kruisbessen en soortgelijke,Agrest i podobne,Kosmulje in podobno
A01GG,Cherries and similar-,Kirsebær og lignende,Kirschen und ähnliche,Κεράσια και παρόμοια,Cerezas y similares,Ciliegie e simili,Kersen en soortgelijke,Wiśnie i podobne,Češnje in podobno
A01GL,Peaches and similar-,Fersken og lignende,Pfirsiche und ähnliche,Ροδάκινα και παρόμοια,Melocotones y similares,Pesche e simili,Perziken en soortgelijke,Brzoskwinie i podobne,Breskve in podobno
A01GP,Plums and similar-,Plommer og lignende,Pflaumen und ähnliche,Δαμάσκηνα και παρόμοια,Ciruelas y similares,Prugne e simili,Pruimen en soortgelijke,Śliwki i podobne,Slive in podobno
A01HJ,Kumquats and similar-,Kumquat og lignende,Kumquats und ähnliche,Κουμκουάτ και παρόμοια,Kumquats y similares,Kumquat e simili,Kumquats en soortgelijke,Kumkwaty i podobne,Kumkvati in podobno
A01HL,Carambolas and similar-,Stjernefrukt og lignende,Sternfrüchte und ähnliche,Καράμβολα και παρόμοια,Carambolas y similares,Carambole e simili,Stervruchten en soortgelijke,Karambole i podobne,Karambole in podobno
A01HP,Kaki and similar-,Kaki og lignende,Kakis und ähnliche,Λωτοί και παρόμοια,Caquis y similares,Cachi e simili,Kaki's en soortgelijke,Persymony i podobne,Kakiji in podobno
A01LN,Guavas and similar-,Guava og lignende,Guaven und ähnliche,Γκουάβα και παρόμοια,Guayabas y similares,Guaiave e simili,Guaves en soortgelijke,Gujawy i podobne,Guave in podobno
A01MA,Dried fruit,Tørket frukt,Trockenobst,Αποξηραμένα φρούτα,Fruta desecada,Frutta secca,Gedroogd fruit,Owoce suszone,Suho sadje
A01MB,Dried prunes,Tørkede svisker,Backpflaumen,Δαμάσκηνα αποξηραμένα,Ciruelas pasas,Prugne secche,Gedroogde pruimen,Śliwki suszone,Suhe slive
A01MC,Dried apples,Tørkede epler,Getrocknete Äpfel,Μήλα αποξηραμένα,Manzanas desecadas,Mele essiccate,Gedroogde appels,Jabłka suszone,Suha jabolka
A01MD,Dried apricots,Tørkede aprikoser,Getrocknete Aprikosen,Βερίκοκα αποξηραμένα,Orejones de albaricoque,Albicocche secche,Gedroogde abrikozen,Morele suszone,Suhe marelice
A01ME,Dried vine fruits (raisins etc.),Rosiner og lignende,Rosinen und ähnliche,Σταφίδες,Pasas,Uva passa,Rozijnen,Rodzynki,Rozine
A01MF,Dried dates,Tørkede dadler,Getrocknete Datteln,Χουρμάδες αποξηραμένοι,Dátiles secos,Datteri secchi,Gedroogde dadels,Daktyle suszone,Suhe datlji
A01MG,Dried figs,Tørkede fikener,Getrocknete Feigen,Σύκα αποξηραμένα,Higos secos,Fichi secchi,Gedroogde vijgen,Figi suszone,Suhe fige
A01MH,Dried pears,Tørkede pærer,Getrocknete Birnen,Αχλάδια αποξηραμένα,Peras desecadas,Pere essiccate,Gedroogde peren,Gruszki suszone,Suhe hruške
A01MM,Jam of fruit / vegetables,Syltetøy,Konfitüre,Μαρμελάδα φρούτων,Mermelada de frutas,Confettura di frutta,Jam,Dżem,Marmelada
A01NJ,Marmalade,Marmelade,Marmelade,Μαρμελάδα εσπεριδοειδών,Mermelada de cítricos,Marmellata di agrumi,Marmelade,Marmolada,Citrusna marmelada
A01NN,Canned or jarred fruit,Hermetisk frukt,Obstkonserven,Φρούτα κονσέρβας,Fruta en conserva,Frutta sciroppata,Fruit in blik of pot,Owoce konserwowe,Konzervirano sadje
A01PD,Compote of fruit / vegetables,Kompott,Kompott,Κομπόστα,Compota,Composta,Compote,Kompot,Kompot
A01QF,Mixed dried fruits,Blandet tørket frukt,Gemischtes Trockenobst,Ανάμεικτα αποξηραμένα φρούτα,Frutas desecadas mixtas,Frutta secca mista,Gemengd gedroogd fruit,Mieszanka owoców suszonych,Mešano suho sadje
A01QP,Fruit preparations for fillings and/or flavouring,Fruktfyll og smakstilsetning,Fruchtzubereitungen für Füllungen,Παρασκευάσματα φρούτων για γέμιση,Preparados de fruta para rellenos,Preparati di frutta per farciture,Vruchtenbereidingen voor vullingen,Przetwory owocowe do nadzień,Sadni pripravki za nadeve
A01QV,Bovine fresh meat,Ferskt storfekjøtt,Frisches Rindfleisch,Νωπό βόειο κρέας,Carne fresca de vacuno,Carne bovina fresca,Vers rundvlees,Świeże mięso wołowe,Sveže goveje meso
A01RG,Pig fresh meat,Ferskt svinekjøtt,Frisches Schweinefleisch,Νωπό χοιρινό κρέας,Carne fresca de cerdo,Carne suina fresca,Vers varkensvlees,Świeże mięso wieprzowe,Sveže svinjsko meso
A01RH,Sheep fresh meat,Ferskt sauekjøtt,Frisches Schaffleisch,Νωπό πρόβειο κρέας,Carne fresca de ovino,Carne ovina fresca,Vers schapenvlees,Świeże mięso baranie,Sveže ovčje meso
A01RL,Goat fresh meat,Ferskt geitekjøtt,Frisches Ziegenfleisch,Νωπό κατσικίσιο κρέας,Carne fresca de caprino,Carne caprina fresca,Vers geitenvlees,Świeże mięso kozie,Sveže kozje meso
A01RM,Equine fresh meat,Ferskt hestekjøtt,Frisches Pferdefleisch,Νωπό κρέας ίππου,Carne fresca de equino,Carne equina fresca,Vers paardenvlees,Świeże mięso końskie,Sveže konjsko meso
A01RQ,Rabbit fresh meat,Ferskt kaninkjøtt,Frisches Kaninchenfleisch,Νωπό κρέας κουνελιού,Carne fresca de conejo,Carne di coniglio fresca,Vers konijnenvlees,Świeże mięso królicze,Sveže kunčje meso
A01SA,Deer fresh meat,Ferskt hjortekjøtt,Frisches Wildfleisch (Hirsch),Νωπό κρέας ελαφιού,Carne fresca de ciervo,Carne di cervo fresca,Vers hertenvlees,Świeże mięso jelenia,Sveže jelenje meso
A01SJ,Hare fresh meat,Ferskt harekjøtt,Frisches Hasenfleisch,Νωπό κρέας λαγού,Carne fresca de liebre,Carne di lepre fresca,Vers hazenvlees,Świeże mięso zająca,Sveže zajčje meso
A01SP,Chicken fresh meat,Ferskt kyllingkjøtt,Frisches Hähnchenfleisch,Νωπό κρέας κοτόπουλου,Carne fresca de pollo,Carne di pollo fresca,Vers kippenvlees,Świeże mięso kurczaka,Sveže piščančje meso
A01SQ,Turkey fresh meat,Ferskt kalkunkjøtt,Frisches Putenfleisch,Νωπό κρέας γαλοπούλας,Carne fresca de pavo,Carne di tacchino fresca,Vers kalkoenvlees,Świeże mięso indyka,Sveže puranje meso
A01SR,Duck fresh meat,Ferskt andekjøtt,Frisches Entenfleisch,Νωπό κρέας πάπιας,Carne fresca de pato,Carne di anatra fresca,Vers eendenvlees,Świeże mięso kaczki,Sveže račje meso
A01ST,Ratites fresh meat,Ferskt kjøtt av strutsefugler,Frisches Fleisch von Laufvögeln,Νωπό κρέας στρουθιονιδών,Carne fresca de ratites,Carne fresca di ratiti,Vers vlees van loopvogels,Świeże mięso ptaków bezgrzebieniowych,Sveže meso tekačev
A01SY,Partridge fresh meat,Ferskt rapphønekjøtt,Frisches Rebhuhnfleisch,Νωπό κρέας πέρδικας,Carne fresca de perdiz,Carne di pernice fresca,Vers patrijzenvlees,Świeże mięso kuropatwy,Sveže jerebičje meso
A01SZ,Pheasant fresh meat,Ferskt fasankjøtt,Frisches Fasanenfleisch,Νωπό κρέας φασιανού,Carne fresca de faisán,Carne di fagiano fresca,Vers fazantenvlees,Świeże mięso bażanta,Sveže fazanje meso
A01TN,Bovine and pig fresh meat,Ferskt storfe- og svinekjøtt,Frisches Rind- und Schweinefleisch,Νωπό βόειο και χοιρινό κρέας,Carne fresca de vacuno y cerdo,Carne bovina e suina fresca,Vers rund- en varkensvlees,Świeże mięso wołowe i wieprzowe,Sveže goveje in svinjsko meso
A01XF,Bovine liver,Storfelever,Rinderleber,Συκώτι βοδινό,Hígado de vacuno,Fegato bovino,Runderlever,Wątroba wołowa,Goveja jetra
A01XJ,Pig liver,Svinelever,Schweineleber,Συκώτι χοιρινό,Hígado de cerdo,Fegato suino,Varkenslever,Wątroba wieprzowa,Svinjska jetra
A01XZ,Chicken liver,Kyllinglever,Hühnerleber,Συκώτι κοτόπουλου,Hígado de pollo,Fegato di pollo,Kippenlever,Wątróbka drobiowa,Piščančja jetra
A01YJ,Bovine kidney,Storfenyre,Rindernieren,Νεφρά βοδινά,Riñón de vacuno,Rognone bovino,Rundernier,Nerki wołowe,Goveje ledvice
A01YM,Pig kidney,Svinenyre,Schweinenieren,Νεφρά χοιρινά,Riñón de cerdo,Rognone suino,Varkensnier,Nerki wieprzowe,Svinjske ledvice
A01YN,Sheep kidney,Saunyre,Schafnieren,Νεφρά πρόβεια,Riñón de ovino,Rognone ovino,Schapennier,Nerki baranie,Ovčje ledvice
A01ZM,"Bovine edible offal, non-muscle, other than liver and kidney",Annet spiselig storfeslakteavfall,Sonstige essbare Rinderinnereien,Άλλα εδώδιμα εντόσθια βοδινά,Otras vísceras comestibles de vacuno,Altre frattaglie bovine commestibili,Overige eetbare runderorganen,Inne jadalne podroby wołowe,Druga užitna goveja drobovina
A020R,Bovine other slaughtering products,Andre slakteprodukter av storfe,Sonstige Schlachtprodukte vom Rind,Άλλα προϊόντα σφαγής βοοειδών,Otros productos del sacrificio de vacuno,Altri prodotti della macellazione bovina,Overige slachtproducten van rund,Inne produkty uboju bydła,Drugi klavni izdelki goveda
A022R,Raw cured (or seasoned) meat,Rått spekekjøtt,Rohes Pökelfleisch,Ωμό αλατισμένο κρέας,Carne curada cruda,Carne cruda stagionata,Rauwe gezouten vleeswaren,Mięso surowe peklowane,Surovo sušeno meso
A022S,Cured seasoned pork meat,Spekt svinekjøtt,Gepökeltes Schweinefleisch,Αλατισμένο χοιρινό κρέας,Carne de cerdo curada,Carne suina stagionata,Gezouten varkensvlees,Wieprzowina peklowana,Sušeno svinjsko meso
A023B,Cured seasoned bovine meat,Spekt storfekjøtt,Gepökeltes Rindfleisch,Αλατισμένο βοδινό κρέας,Carne de vacuno curada,Carne bovina stagionata,Gezouten rundvlees,Wołowina peklowana,Sušeno goveje meso
A023H,Cooked cured (or seasoned) pork meat,Kokt spekt svinekjøtt,Gekochtes Pökelfleisch vom Schwein,Μαγειρεμένο αλατισμένο χοιρινό,Carne de cerdo curada cocida,Carne suina cotta stagionata,Gekookt gezouten varkensvlees,Wieprzowina peklowana gotowana,Kuhano sušeno svinjsko meso
A023P,Cooked cured (or seasoned) bovine meat,Kokt spekt storfekjøtt,Gekochtes Pökelfleisch vom Rind,Μαγειρεμένο αλατισμένο βοδινό,Carne de vacuno curada cocida,Carne bovina cotta stagionata,Gekookt gezouten rundvlees,Wołowina peklowana gotowana,Kuhano sušeno goveje meso
A023S,Cooked cured (or seasoned) poultry meat,Kokt spekt fjørfekjøtt,Gekochtes Pökelfleisch vom Geflügel,Μαγειρεμένο αλατισμένο πουλερικό,Carne de ave curada cocida,Carne di pollame cotta stagionata,Gekookt gezouten gevogelte,Drób peklowany gotowany,Kuhano sušeno perutninsko meso
A024B,Canned-tinned meat,Hermetisk kjøtt,Fleischkonserven,Κρέας κονσέρβας,Carne en conserva,Carne in scatola,Vlees in blik,Mięso konserwowe,Mesne konzerve
A024F,Sausages,Pølser,Würste,Λουκάνικα,Embutidos,Salsicce e insaccati,Worst,Kiełbasy,Klobase
A024G,Fresh raw sausages,Ferske rå pølser,Frische Rohwürste,Νωπά ωμά λουκάνικα,Salchichas frescas,Salsicce fresche,Verse rauwe worst,Kiełbasy surowe świeże,Sveže surove klobase
A024Q,Cured unripened raw sausages,Rå umodne spekepølser,Rohwürste ungereift,Ωμά λουκάνικα χωρίς ωρίμανση,Embutidos crudos sin curar,Salsicce crude non stagionate,Rauwe ongerijpte worst,Kiełbasy surowe niedojrzewające,Surove nezorene klobase
A024V,Cured ripened raw sausages,Spekepølser,Rohwürste gereift,Ωμά λουκάνικα ωριμασμένα,Embutidos curados,Salumi stagionati,Rauwe gerijpte worst,Kiełbasy surowe dojrzewające,Surove zorene klobase
A025K,Spreadable cooked sausages,Smørbare kokte pølser,Streichfähige Kochwürste,Αλείψιμα μαγειρεμένα λουκάνικα,Embutidos cocidos untables,Insaccati cotti spalmabili,Smeerbare gekookte worst,Kiełbasy gotowane smarowne,Mazave kuhane klobase
A025N,Sliceable or firm cooked sausages,Faste kokte pølser,Schnittfeste Kochwürste,Λουκάνικα μαγειρεμένα σε φέτες,Embutidos cocidos loncheables,Insaccati cotti affettabili,Snijdbare gekookte worst,Kiełbasy gotowane krojone,Rezljive kuhane klobase
A026A,Pre-cooked sausages to be cooked before consumption,Forkokte pølser til oppvarming,Brühwürste zum Garen,Προμαγειρεμένα λουκάνικα προς μαγείρεμα,Salchichas precocidas para cocinar,Salsicce precotte da cuocere,Voorgekookte worst om te bereiden,Kiełbasy parzone do podgrzania,Predkuhane klobase za kuhanje
A026K,Meat based spreadable-textured specialities,Smørbare kjøttprodukter,Streichfähige Fleischerzeugnisse,Αλείψιμα προϊόντα κρέατος,Especialidades cárnicas untables,Specialità di carne spalmabili,Smeerbare vleesproducten,Pasty mięsne,Mazavi mesni izdelki
A026M,Liver based spreadable-textured specialities,Leverpostei,Leberstreichwurst,Πατέ συκωτιού,Paté de hígado,Paté di fegato,Leverpastei,Pasztet z wątróbki,Jetrna pašteta
A026V,Fish (meat),Fisk,Fisch,Ψάρι,Pescado,Pesce,Vis,Ryby,Ribe
A027J,Catfishes (freshwater),Maller,Welse,Γατόψαρα,Siluros,Pesci gatto,Meervallen,Sumy,Somi
A027N,Perch,Abbor,Barsch,Πέρκα,Perca,Persico,Baars,Okoń,Ostriž
A028A,Tilapias and similar,Tilapia og lignende,Tilapia und ähnliche,Τιλάπια και παρόμοια,Tilapias y similares,Tilapie e simili,Tilapia en soortgelijke,Tilapia i podobne,Tilapije in podobno
A028G,River eels,Ål,Aal,Χέλι,Anguilas,Anguille,Paling,Węgorz,Jegulje
A029F,Trouts,Ørret,Forellen,Πέστροφα,Truchas,Trote,Forel,Pstrągi,Postrvi
A029R,Marine fish,Saltvannsfisk,Meeresfisch,Θαλασσινά ψάρια,Pescado de mar,Pesce di mare,Zeevis,Ryby morskie,Morske ribe
A02AK,Conger,Havål,Meeraal,Μουγγρί,Congrio,Grongo,Zeepaling,Konger,Morska jegulja
A02AS,Dab or common dab,Sandflyndre,Kliesche,Χωματίδα,Limanda,Limanda,Schar,Zimnica,Limanda
A02AT,Flounders,Skrubbe,Flunder,Καλκάνι φλάουντερ,Platijas,Passere,Bot,Stornia,Iverke
A02BC,Plaice,Rødspette,Scholle,Γλώσσα πλατέσσα,Solla,Platessa,Schol,Gładzica,Morska plošča
A02BF,Sole,Sjøtunge,Seezunge,Γλώσσα,Lenguado,Sogliola,Tong,Sola,Morski list
A02BL,Wolffishes,Steinbit,Seewolf,Λυκόψαρα,Perros del norte,Bavose,Zeewolf,Zębacze,Volkove ribe
A02BV,Cod,Torsk,Kabeljau,Μπακαλιάρος,Bacalao,Merluzzo,Kabeljauw,Dorsz,Trska
A02CA,Haddock,Hyse,Schellfisch,Καλλαρίας,Eglefino,Eglefino,Schelvis,Plamiak,Vahnja
A02CE,"Pollack, pollock",Sei,Seelachs,Μπακαλιάρος πόλακ,Abadejo,Merluzzo carbonaro,Koolvis,Czarniak,Saj
A02CG,Whiting,Hvitting,Wittling,Νταούκι,Merlán,Merlano,Wijting,Witlinek,Mol
A02CT,Mackerel,Makrell,Makrele,Σκουμπρί,Caballa,Sgombro,Makreel,Makrela,Skuša
A02DA,Sardines and sardine-type fishes,Sardiner og lignende,Sardinen und ähnliche,Σαρδέλες και παρόμοια,Sardinas y similares,Sardine e simili,Sardines en soortgelijke,Sardynki i podobne,Sardele in podobno
A02DD,Anchovies,Ansjos,Sardellen,Γαύρος,Anchoas,Acciughe,Ansjovis,Sardele,Sardoni
A02DE,Herrings,Sild,Hering,Ρέγγα,Arenques,Aringhe,Haring,Śledź,Sled
A02DX,Tuna,Tunfisk,Thunfisch,Τόνος,Atún,Tonno,Tonijn,Tuńczyk,Tuna
A02EJ,Fish liver,Fiskelever,Fischleber,Συκώτι ψαριού,Hígado de pescado,Fegato di pesce,Vislever,Wątroba ryb,Ribja jetra
A02EM,Fish roe,Fiskerogn,Fischrogen,Αυγοτάραχο,Huevas de pescado,Uova di pesce,Viskuit,Ikra rybia,Ribja ikra
A02FP,Lobsters,Hummer,Hummer,Αστακός,Bogavantes,Astici,Kreeft,Homary,Jastogi
A02FX,Shrimps and prawns,Reker,Garnelen,Γαρίδες,Gambas y langostinos,Gamberi,Garnalen,Krewetki,Kozice
A02HF,Mussels,Blåskjell,Miesmuscheln,Μύδια,Mejillones,Cozze,Mosselen,Małże,Klapavice
A02HG,Oysters,Østers,Austern,Στρείδια,Ostras,Ostriche,Oesters,Ostrygi,Ostrige
A02HN,"Scallops, pectens",Kamskjell,Jakobsmuscheln,Χτένια,Vieiras,Capesante,Sint-jakobsschelpen,Przegrzebki,Pokrovače
A02HZ,"Squids, cuttlefishes, octopuses",Blekksprut,Tintenfische,Καλαμάρια σουπιές χταπόδια,Calamares sepias y pulpos,Calamari seppie e polpi,Inktvissen,Głowonogi,Glavonožci
A02JH,Squids,Akkar,Kalmar,Καλαμάρια,Calamares,Calamari,Pijlinktvis,Kalmary,Lignji
A02JR,Stockfish,Tørrfisk,Stockfisch,Μπακαλιάρος ξηρός,Bacalao seco,Stoccafisso,Stokvis,Sztokfisz,Sušena trska
A02KC,"Fish fingers, breaded",Fiskepinner,Fischstäbchen,Ψαροκροκέτες πανέ,Palitos de pescado,Bastoncini di pesce,Vissticks,Paluszki rybne,Ribje palčke
A02KE,Fish paste or surimi,Fiskepasta og surimi,Fischpaste und Surimi,Πάστα ψαριού και σουρίμι,Pasta de pescado y surimi,Pasta di pesce e surimi,Vispasta en surimi,Pasta rybna i surimi,Ribja pasta in surimi
A02KF,Smoked salmon,Røkelaks,Räucherlachs,Καπνιστός σολομός,Salmón ahumado,Salmone affumicato,Gerookte zalm,Łosoś wędzony,Prekajen losos
A02KG,Smoked herring,Røkesild,Räucherhering,Καπνιστή ρέγγα,Arenque ahumado,Aringa affumicata,Gerookte haring,Śledź wędzony,Prekajen sled
A02LK,Snails,Snegler,Schnecken,Σαλιγκάρια,Caracoles,Lumache,Slakken,Ślimaki,Polži
A02LV,Cow milk,Kumelk,Kuhmilch,Αγελαδινό γάλα,Leche de vaca,Latte vaccino,Koemelk,Mleko krowie,Kravje mleko
A02MB,Goat milk,Geitemelk,Ziegenmilch,Κατσικίσιο γάλα,Leche de cabra,Latte di capra,Geitenmelk,Mleko kozie,Kozje mleko
A02MJ,Human milk,Morsmelk,Muttermilch,Μητρικό γάλα,Leche materna,Latte materno,Moedermelk,Mleko kobiece,Materino mleko
A02ML,"Cream, plain",Fløte,Sahne,Κρέμα γάλακτος,Nata,Panna,Room,Śmietanka,Smetana
A02MM,Cream with other ingredients,Fløte med tilsetninger,Sahne mit weiteren Zutaten,Κρέμα γάλακτος με πρόσθετα,Nata con otros ingredientes,Panna con altri ingredienti,Room met andere ingrediënten,Śmietanka z dodatkami,Smetana z drugimi sestavinami
A02MN,Cream sprayable,Sprayfløte,Sprühsahne,Σαντιγί σπρέι,Nata en spray,Panna spray,Slagroom uit spuitbus,Śmietana w sprayu,Smetana v pršilu
A02MP,Flavoured milks,Smakstilsatt melk,Aromatisierte Milch,Αρωματισμένο γάλα,Leches saborizadas,Latte aromatizzato,Gearomatiseerde melk,Mleko smakowe,Aromatizirano mleko
A02MV,Buttermilk,Kulturmelk,Buttermilch,Ξινόγαλα,Suero de mantequilla,Latticello,Karnemelk,Maślanka,Pinjenec
A02NB,"Sour cream, plain",Rømme,Saure Sahne,Ξινή κρέμα,Nata agria,Panna acida,Zure room,Śmietana kwaśna,Kisla smetana
A02NC,Créme fraiche and other mild variants of sour cream,Crème fraîche,Crème fraîche,Κρεμ φρες,Crema fresca,Crème fraîche,Crème fraîche,Crème fraîche,Crème fraîche
A02NF,"Yoghurt, cow milk",Yoghurt av kumelk,Joghurt aus Kuhmilch,Γιαούρτι αγελαδινό,Yogur de leche de vaca,Yogurt di latte vaccino,Yoghurt van koemelk,Jogurt z mleka krowiego,Jogurt iz kravjega mleka
A02NM,"Yoghurt, goat milk",Yoghurt av geitemelk,Joghurt aus Ziegenmilch,Γιαούρτι κατσικίσιο,Yogur de leche de cabra,Yogurt di latte di capra,Yoghurt van geitenmelk,Jogurt z mleka koziego,Jogurt iz kozjega mleka
A02NQ,"Yoghurt drinks, including sweetened and/or flavoured variants",Yoghurtdrikker,Joghurtgetränke,Ροφήματα γιαουρτιού,Bebidas de yogur,Bevande allo yogurt,Yoghurtdranken,Napoje jogurtowe,Jogurtovi napitki
A02NR,Probiotic milk-like drinks,Probiotiske melkedrikker,Probiotische Milchgetränke,Προβιοτικά ροφήματα γάλακτος,Bebidas lácteas probióticas,Bevande probiotiche a base di latte,Probiotische melkdranken,Napoje probiotyczne mleczne,Probiotični mlečni napitki
A02NV,Kefir,Kefir,Kefir,Κεφίρ,Kéfir,Kefir,Kefir,Kefir,Kefir
A02PF,"Evaporated milk (liquid, unsweetened)",Evaporert melk,Kondensmilch ungezuckert,Γάλα εβαπορέ,Leche evaporada,Latte evaporato,Geëvaporeerde melk,Mleko zagęszczone niesłodzone,Evaporirano mleko
A02PG,Condensed milk (sometimes with added sugars),Kondensert melk,Kondensmilch gezuckert,Γάλα ζαχαρούχο,Leche condensada,Latte condensato,Gecondenseerde melk,Mleko skondensowane,Kondenzirano mleko
A02PJ,Milk powder,Melkepulver,Milchpulver,Γάλα σε σκόνη,Leche en polvo,Latte in polvere,Melkpoeder,Mleko w proszku,Mleko v prahu
A02PV,Dairy desserts spoonable,Melkedesserter,Milchdesserts,Επιδόρπια γάλακτος,Postres lácteos,Dessert al latte,Zuiveldesserts,Desery mleczne,Mlečne sladice
A02PX,Custard,Vaniljesaus,Vanillepudding,Κρέμα ζαχαροπλαστικής,Natillas,Crema pasticcera,Vla,Krem budyniowy,Vaniljeva krema
A02PY,Starchy pudding,Pudding,Pudding,Πουτίγκα αμύλου,Flan de almidón,Budino di amido,Pudding,Budyń,Puding
A02QA,"Ice cream, milk-based",Iskrem av melk,Milcheis,Παγωτό γάλακτος,Helado de leche,Gelato al latte,Roomijs,Lody mleczne,Mlečni sladoled
A02QB,"Ice cream, milk-imitate based",Iskrem uten melk,Eis auf Milchersatzbasis,Παγωτό με υποκατάστατο γάλακτος,Helado sin leche,Gelato senza latte,IJs op basis van melkvervanger,Lody na bazie zamienników mleka,Sladoled na osnovi mlečnih nadomestkov
A02QC,Frozen yoghurt,Frossen yoghurt,Frozen Yogurt,Παγωμένο γιαούρτι,Yogur helado,Yogurt gelato,Frozen yoghurt,Jogurt mrożony,Zamrznjen jogurt
A02QD,Milkshakes,Milkshake,Milchshakes,Μιλκσέικ,Batidos,Frappè al latte,Milkshakes,Koktajle mleczne,Mlečni napitki
A02QF,Fresh uncured cheese,Ferskost,Frischkäse,Φρέσκο τυρί,Queso fresco,Formaggio fresco,Verse kaas,Ser twarogowy świeży,Sveži sir
A02RB,Soft brined cheese (feta type),Salt lagret bløtost (fetatype),Salzlakenkäse (Feta-Typ),Λευκό τυρί άλμης (τύπου φέτα),Queso en salmuera (tipo feta),Formaggio in salamoia (tipo feta),Pekelkaas (fetatype),Ser solankowy (typu feta),Sir v slanici (vrste feta)
A02RJ,Soft-ripened washed-rind cheese (limburger type),Rødkittost,Rotschmierekäse,Μαλακό τυρί με πλυμένη κρούστα,Queso de corteza lavada,Formaggio a crosta lavata,Roodbacteriekaas,Ser o mytej skórce,Mehki sir z oprano skorjo
A02RT,"Soft-ripened cheese with bloomy rind (white mould) (brie, camembert type)",Hvitmuggost,Weißschimmelkäse,Μαλακό τυρί με λευκή μούχλα,Queso de corteza enmohecida blanca,Formaggio a crosta fiorita,Witschimmelkaas,Ser pleśniowy biały,Mehki sir z belo plesnijo
A02ST,Firm - ripened cheeses,Faste modnede oster,Feste Reifekäse,Σκληρά ώριμα τυριά,Quesos curados firmes,Formaggi stagionati semiduri,Vaste gerijpte kazen,Sery dojrzewające twarde,Trdi zoreni siri
